
--------------------[ TimeCounter ]---------------

Name                          Avg. Value    Min. Value    Max. Value         Samples 
Duality\Frame:                     24.21          0.00       1304.78           24086 
  Update:                           1.56          0.00        797.58           24086 
    Physics:                        0.31          0.00         90.52           24086 
      Contacts:                     0.20          0.00         46.00           24086 
      Controller:                   0.00          0.00          0.10           24086 
      Continous:                    0.02          0.00         90.44           24086 
      AddRemove:                    0.00          0.00          0.33           24086 
      Solve:                        0.09          0.00         32.97           24086 
    Scene:                          0.52          0.00        434.53           24086 
      All Components:               0.50          0.00        434.53           24086 
      VelocityTracker:              0.01          0.00          3.24           24085 
      BoomBox:                      0.03          0.00          2.01             131 
      MainMenu:                     3.18          0.00        410.10             131 
      RigidBody:                    0.35          0.01        434.44           23534 
      SpriteAnimator:               0.01          0.00          2.39           23534 
      DialogBox:                    0.03          0.00         19.94            1499 
      PlayerAnimations:             0.00          0.00          2.12           15181 
      PlayerMovement:               0.01          0.00          4.51           23534 
      DancingApples:                0.01          0.00          3.80           10170 
      Shake:                        0.02          0.01          1.86            1082 
      PlayerAI:                     0.01          0.00          1.45            8265 
      Rotator:                      0.03          0.00          2.40            8048 
      Spawner:                      0.03          0.00          2.76             242 
      Eyes:                         0.01          0.00          2.20            3084 
      NightMareApple:               0.07          0.00         66.63            1282 
      BigApple:                     0.03          0.00         33.19            2582 
      ImminantEnd:                  0.04          0.00          3.03             127 
      ImminentEndModified:          0.01          0.00          1.18             420 
    Audio:                          0.36          0.00         35.06           24086 
  Render:                          22.52          0.00       1220.42           24086 
    SwapBuffers:                   20.81          0.00        129.52           24086 
    QueryVisibleRenderers:          0.02          0.00          3.66           24086 
    CollectDrawcalls:               0.18          0.00        999.74           24086 
      SpriteRenderer:               0.14          0.01        999.70           24085 
      TextRenderer:                 0.04          0.01         25.40            2049 
    OptimizeDrawcalls:              0.04          0.00         14.86           24086 
    ProcessDrawcalls:               1.00          0.00        370.41           24086 
  Log:                             21.15          3.06        573.19             121 
  VisualPicking:                    0.00          0.00          0.00               1 
  Unaccounted:                      0.02       -573.19         19.01           24086 
Cameras\MainCamera:                 1.72          0.40       1219.33           24085 

--------------------[ StatCounter ]---------------

Name                                         Avg. Value    Min. Value    Max. Value         Samples 
Duality\Stats\Audio\NumPlaying2D:                     2             0             8           24086 
Duality\Stats\Audio\NumPlaying3D:                     0             0             0           24086 
Duality\Stats\Render\NumDrawcalls:                    5             0             9           24086 
Duality\Stats\Render\NumRawBatches:                  16             0            46           24086 
Duality\Stats\Render\NumMergedBatches:                6             0            15           24086 
Duality\Stats\Render\NumOptimizedBatches:             5             0             9           24086 
Duality\Stats\Memory\TotalUsage:                 172526         33188        307902           24086 
Duality\Stats\Memory\GarbageCollect0:               142             -             -               - 
Duality\Stats\Memory\GarbageCollect1:                29             -             -               - 
Duality\Stats\Memory\GarbageCollect2:                14             -             -               - 
